BandWidth, Algorithm, Video name, Rate, Utility,
4000.000000, Fast heap,lam, 550.547200, 4.738205,
,,sony, 1136.302111, 3.209884,
,,star, 464.220480, 4.743824,
,,terminate, 639.952941, 2.520740,
,,tokyo, 678.605877, 4.561493,
,,U_avg, 3.954829
,,SUM_BW, 3469.628609
,,TIME, 0.000009

, Full search,lam, 334.081600, 4.441102,
,,sony, 1136.302111, 3.209884,
,,star, 365.071760, 4.649766,
,,terminate, 1439.776894, 3.655024,
,,tokyo, 678.605877, 4.561493,
,,U_avg, 4.103454
,,SUM_BW, 3953.838242
,,TIME, 0.026169

, Lagrange Algorithm,lam, 334.081600, 4.441102,
,,sony, 1136.302111, 3.209884,
,,star, 365.071760, 4.649766,
,,terminate, 639.952941, 2.520740,
,,tokyo, 678.605877, 4.561493,
,,U_avg, 3.876597
,,SUM_BW, 3154.014289
,,TIME, 0.000014

