VIDEO, Rate, Utility, d0, QP
lam,117.616000, 3.238694, 0.500000, 35.027211
,334.081600, 4.383832, 0.407833, 26.721088
,550.547200, 4.738205, 0.385368, 24.149660
,767.012800, 4.860824, 0.308812, 23.272109
,983.478400, 4.929206, 0.344999, 22.768707
,1199.944000, 4.968972, 0.403432, 22.469388
,1416.409600, 4.992679, 0.468450, 22.285714
,1632.875200, 5.003410, 0.489387, 22.204082
,1849.340800, 5.014405, 0.267982, 22.163265
,2065.806400, 5.020372, 0.030332, 22.163265
,2282.272000, 5.022548, 0.166340, 22.122449
,2498.737600, 5.027968, 0.174208, 22.081633
,2715.203200, 5.032359, 0.000873, 22.081633
,2931.668800, 5.032381, 0.000000, 22.081633
,3148.134400, 5.033181, 0.190361, 22.040816
,3364.600000, 5.036734, 0.049442, 22.040816
,3581.065600, 5.037998, 0.000000, 22.040816
,3797.531200, 5.037998, 0.000000, 22.040816
,4013.996800, 5.039258, 0.060598, 22.020408
,4230.462400, 5.040806, 0.000000, 22.020408

sony,494.510222, 1.994677, 0.500000, 44.068027
,1136.302111, 3.255867, 0.068752, 34.979592
,1778.094000, 3.696330, 0.387266, 31.721088
,2419.885889, 4.038427, 0.446638, 29.224490
,3061.677778, 4.146042, 0.409163, 28.448980
,3703.469667, 4.321002, 0.490389, 27.163265
,4345.261556, 4.501617, 0.453165, 25.857143
,4987.053444, 4.632499, 0.154958, 24.959184
,5628.845333, 4.737479, 0.454178, 24.142857
,6270.637222, 4.771773, 0.429412, 23.897959
,6912.429111, 4.804906, 0.452856, 23.653061
,7554.221000, 4.858823, 0.429525, 23.265306
,8196.012889, 4.888108, 0.265145, 23.081633
,8837.804778, 4.900872, 0.203411, 23.000000
,9479.596667, 4.944501, 0.370362, 22.653061
,10121.388556, 4.967428, 0.351426, 22.489796
,10763.180444, 5.006902, 0.344885, 22.204082
,11404.972333, 5.022920, 0.151533, 22.122449
,12046.764222, 5.034223, 0.261494, 22.020408
,12688.556111, 5.039631, 0.045946, 22.020408

